Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
49;49;6938776;373000;4;2;3;49;1;1;1;340000000
83;80;5421687;227000;4;3;3;83;3;2;2;450000000
86;80;4127907;280000;4;3;3;86;3;2;1;355000000
168;155;7440476;750000;6;2;3;168;4;4;2;1250000000
79;79;5316456;160000;4;3;2;79;3;2;1;420000000
180;175;7500000;550000;6;3;3;180;4;5;2;1350000000
89;89;4550562;260000;4;3;3;89;3;2;1;405000000
92;92;7391304;582000;6;3;2;92;2;2;2;680000000
79;79;3898734;249000;4;4;2;79;3;3;1;308000000
50;50;3200000;150000;3;4;2;50;2;1;0;160000000
178;168;6741573;900000;6;3;3;178;3;4;2;1200000000
83;77;5879518;510000;5;2;2;83;2;3;2;488000000
55;50;5454545;280000;5;4;3;55;2;2;1;300000000
64;60;2578125;50000;2;3;3;64;3;2;1;165000000
55;50;5454545;285000;5;4;3;55;2;2;1;300000000
84;84;3809524;141000;3;2;2;84;3;3;1;320000000
63;63;10555556;488000;5;1;3;63;1;2;1;665000000
87;85;2873563;160000;3;4;3;87;4;3;0;250000000
101;89;4950495;484000;5;3;2;101;3;3;2;500000000
105;105;5904762;537600;4;4;2;105;3;3;1;620000000
300;300;9000000;1700000;6;5;3;300;3;4;3;2700000000
86;66;5232558;192000;3;4;2;86;3;3;1;450000000
160;143;6617142;680000;5;4;3;160;3;3;2;1060000000
65;65;3584615;138000;3;4;3;65;3;2;1;233000000
54;54;5925926;247000;4;2;3;54;2;2;1;320000000
268;268;7167910;1561000;6;4;3;268;4;5;3;1921000001
331;331;11178248;2500000;6;2;3;331;4;5;4;3700000000
220;220;3320455;175000;5;5;2;220;3;4;2;730500000
98;98;2500000;75000;3;4;3;98;4;3;1;245000000
155;155;11290323;1450000;6;2;3;155;3;3;4;1750000001
134;134;6544776;985000;6;4;3;134;4;4;2;877000001
168;168;5267857;775000;4;2;3;168;3;5;4;885000001
183;183;7650273;1475000;6;3;3;183;3;4;2;1400000001
275;185;5400000;660000;5;3;3;275;3;4;3;1485000001
93;93;5322581;350000;4;3;3;93;3;3;2;495000000
176;176;8096591;1280000;6;4;3;176;4;5;2;1425000001
104;104;6682692;544000;5;5;1;104;3;2;1;695000001
134;134;5093284;501900;6;5;2;134;3;3;2;682500000
80;80;3937500;280000;4;3;3;80;3;2;1;315000000
65;63;4000000;115000;3;4;3;65;3;2;1;260000000
243;200;6954733;900000;5;2;3;243;4;5;3;1690000000
85;85;6105882;350000;5;4;3;85;1;2;2;519000000
230;200;1521739;1;3;2;3;230;5;2;1;350000000
55;51;2818182;94000;2;3;2;55;3;2;0;155000000
102;97;5294118;337000;5;3;3;102;3;3;2;540000000
55;55;2872727;50000;2;2;2;55;3;1;0;158000000
61;61;3278689;167000;3;4;2;61;3;2;1;200000000
80;80;4987500;250000;3;1;3;80;3;2;1;399000000
111;111;5855856;630000;5;2;3;111;2;3;2;650000000
84;78;4166667;230000;4;2;3;84;3;2;1;350000000
107;107;5934579;434000;4;2;3;107;3;3;2;635000000
89;89;4213483;100000;4;2;3;89;3;2;1;375000000
88;88;3295455;180000;3;4;3;88;3;2;1;290000000
250;250;9200000;1500000;6;3;3;250;3;5;4;2300000000
60;60;6333333;456000;5;4;3;60;3;2;1;380000000
108;108;5185185;780000;6;5;3;108;2;2;2;560000000
450;2350;4222222;1400000;6;5;2;450;4;5;5;1900000000
96;94;3750000;280000;4;3;3;96;3;3;2;360000000
61;61;6229508;300000;4;2;3;61;2;2;1;380000000
83;80;5421687;227000;4;3;3;83;3;2;2;450000000
455;1408;4725275;1100000;6;3;3;455;3;4;8;2150000000
76;76;3486842;223000;3;4;3;76;3;2;1;265000000
117;117;6410256;800000;5;3;3;117;2;3;2;750000000
58;58;5077586;331000;5;4;3;58;2;2;1;294500000
89;89;4393258;527000;5;4;3;89;3;2;1;391000000
210;160;4714286;814000;5;4;2;210;5;4;2;990000000
55;50;5454545;285000;5;4;3;55;2;2;1;300000000
304;288;4605263;465000;4;5;3;304;3;4;2;1400000000
68;63;6632353;320000;4;2;3;68;2;2;1;451000000
64;64;6250000;130000;4;4;2;64;1;2;1;400000000
99;99;5555556;280000;4;2;3;99;3;3;2;550000000
51;49;3218884;106000;3;4;2;51;3;1;0;165000000
52;47;2307692;70000;2;3;2;52;3;1;0;120000000
73;73;7671233;691000;6;3;3;73;2;2;2;560000000
98;98;5306122;318000;4;2;3;98;3;3;2;520000000
71;71;3943662;100000;3;4;3;71;3;2;1;280000000
41;41;3902439;60000;3;3;2;41;2;1;0;160000000
130;130;7307692;850000;6;3;2;130;2;3;2;950000000
