Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
800;6062500;5;4;3;800;6;8;10;4850000000
198;5555556;6;3;3;198;3;4;3;1100000000
54;5166667;5;4;2;54;1;1;1;279000000
200;4150000;5;4;3;200;3;3;2;830000000
60;6150000;6;2;3;60;1;2;1;369000000
112;4598214;5;3;2;112;3;3;2;515000000
86;6162791;6;4;2;86;2;2;1;530000000
111;5855856;5;2;3;111;2;3;2;650000000
165;5151515;6;4;2;165;3;3;3;850000000
120;4166667;5;3;2;120;3;4;2;500000000
72;4722222;5;3;3;72;2;2;1;340000000
70;4928571;5;4;3;70;2;2;1;345000000
67;5149254;5;4;2;67;2;2;1;345000000
65;6000000;5;3;3;65;2;2;2;390000000
81;5061728;5;4;2;81;4;3;2;410000000
168;5059524;6;4;3;168;3;2;2;850000000
228;4780702;6;5;2;228;4;5;3;1090000000
95;4947368;5;2;3;95;3;2;1;470000000
110;5000000;6;4;3;110;3;3;2;550000000
81;9225092;6;1;3;81;2;2;2;750000000
281;13879004;6;3;2;281;3;4;4;3900000000
103;6699029;5;2;3;103;2;3;2;690000000
182;3846154;5;3;3;182;3;4;2;700000000
63;4761905;5;4;3;63;2;2;1;300000000
130;5769231;5;4;3;130;3;3;2;750000000
555;6936937;6;3;3;555;5;6;6;3850000000
107;8691589;6;2;2;107;1;2;2;930000000
80;11187500;6;2;3;80;1;2;2;895000000
158;10126582;6;3;2;158;2;3;2;1600000000
380;7368421;5;3;3;380;4;5;6;2800000000
280;5357143;6;4;3;280;3;4;3;1500000000
218;4174312;6;3;2;218;3;3;2;910000000
104;5913462;5;3;3;104;3;2;2;615000000
107;5887850;5;2;3;107;3;3;2;630000000
114;5438596;6;3;3;114;2;2;2;620000000
149;3926174;5;5;3;149;3;2;1;585000000
150;3533333;5;5;2;150;3;2;1;530000000
163;5582822;6;4;3;163;2;3;2;910000000
500;7500000;6;5;3;500;2;3;3;3750000000
70;6682781;5;2;3;70;2;3;1;470000000
311;4276527;5;3;3;311;5;6;3;1330000000
194;6185567;6;3;3;194;3;4;3;1200000000
240;6250000;6;5;2;240;3;3;2;1500000000
238;4621849;6;2;3;238;4;4;4;1100000000
460;2065217;5;5;2;460;14;8;5;950000000
137;5474453;6;4;3;137;4;4;2;750000000
86;5465116;5;2;3;86;3;2;1;470000000
190;6831579;6;4;3;190;3;3;2;1298000000
102;5392157;5;3;3;102;3;3;2;550000000
200;4650000;6;5;3;200;3;3;1;930000000
200;7000000;5;5;3;200;4;4;2;1400000000
138;4492754;5;2;2;138;4;3;2;620000000
348;4310345;5;4;2;348;6;5;2;1500000000
310;6451613;6;4;3;310;4;5;2;2000000000
72;4722222;5;3;3;72;2;2;1;340000000
251;5557769;6;4;3;251;3;3;3;1395000000
100;6500000;6;3;3;100;2;3;2;650000000
86;5465116;5;4;3;86;3;3;1;470000000
180;13888889;6;5;2;180;3;4;3;2500000000
66;7803030;5;2;3;66;2;2;2;515000000
289;5363322;6;4;3;289;4;5;3;1550000000
57;7017544;5;1;3;57;1;1;1;400000000
165;7787879;6;3;3;165;3;4;3;1285000000
540;5342593;6;4;3;540;4;6;4;2885000000
151;4224503;5;3;3;151;3;3;2;637900000
108;4981481;6;5;3;108;3;3;1;538000000
96;5031120;6;3;3;96;2;2;2;485000000
678;6489676;6;4;2;678;5;5;5;4400000000
163;8159509;6;4;2;163;3;2;2;1330000000
136;4779412;5;2;3;136;3;3;2;650000000
120;3500000;5;4;3;120;3;3;2;420000000
97;6226804;6;4;3;97;2;2;2;604000000
80;6500000;6;2;3;80;2;2;2;520000000
122;4999992;5;2;2;122;3;2;2;609999000
102;5392157;5;3;3;102;3;3;2;550000000
251;5557769;6;4;3;251;3;3;3;1395000000
63;5158730;5;2;3;63;2;2;1;325000000
127;4566929;5;4;2;127;3;2;2;580000000
138;5217391;5;2;3;138;4;5;2;720000000
671;5216095;6;4;3;671;6;3;5;3500000000
122;7786885;6;4;3;122;2;4;1;950000000
65;6846154;5;2;3;65;1;2;1;445000000
141;3687943;5;4;2;141;3;4;2;520000000
205;4146341;5;4;3;205;4;4;2;850000000
223;7757848;6;2;3;223;4;5;3;1730000000
156;5897436;5;3;3;156;3;3;2;920000000
113;4778761;5;3;3;113;3;2;2;540000000
116;5172414;5;3;3;116;3;2;2;600000000
201;4179104;6;4;2;201;3;3;2;840000000
120;7500000;6;3;3;120;3;3;2;900000000
105;5000000;5;1;3;105;3;3;1;525000000
660;8333333;6;3;2;660;4;4;6;5500000000
150;7666667;6;5;2;150;2;3;2;1150000000
374;4679144;5;5;2;374;5;5;2;1750000000
125;4760000;5;4;3;125;3;5;2;595000000
251;5557769;6;4;3;251;3;3;3;1395000000
143;5783972;6;4;2;143;4;4;1;830000000
120;7083333;6;2;3;120;3;3;2;850000000
195;4410256;6;5;2;195;5;4;1;860000000
267;4681648;6;2;3;267;4;5;5;1250000000
151;3509934;5;4;3;151;3;3;2;530000000
106;7500000;6;2;3;106;2;3;2;795000000
163;8159509;6;4;2;163;3;3;2;1330000000
139;5035971;6;4;2;139;3;3;2;700000000
87;4252874;6;5;3;87;3;3;1;370000000
54;6481481;5;2;1;54;1;2;2;350000000
289;5363322;6;4;3;289;4;5;3;1550000000
86;5465116;5;2;3;86;3;3;1;470000000
110;4045455;5;4;1;110;3;2;2;445000000
200;4245000;5;5;3;200;5;4;2;849000000
155;8387097;6;2;3;155;3;5;3;1300000000
96;7802083;6;2;2;96;1;2;2;749000000
235;7017021;6;2;3;235;3;3;3;1649000000
369;6314363;6;1;3;369;4;5;3;2330000000
333;7807808;5;4;3;333;5;5;4;2600000000
223;5829596;6;4;3;223;3;4;6;1300000000
230;3478261;5;5;2;230;5;4;3;800000000
381;3937008;5;5;2;381;5;6;3;1500000000
280;6607143;6;4;2;280;3;3;4;1850000000
141;4655428;5;3;3;141;3;3;2;660000000
250;10200000;6;3;3;250;3;4;3;2550000000
97;6185567;6;4;3;97;2;2;2;600000000
137;3868613;5;3;3;137;4;3;1;530000000
78;4871795;5;4;2;78;3;2;2;380000000
90;9444444;6;1;3;90;2;3;2;850000000
111;6756757;6;4;3;111;3;3;2;750000000
642;2803738;6;4;3;642;5;5;4;1800000000
113;5221239;6;4;2;113;3;2;2;590000000
207;6038647;6;3;3;207;3;4;4;1250000000
103;8252427;6;4;2;103;2;2;2;850000000
136;5661765;5;3;3;136;3;3;2;770000000
